Battery,Predicted_End_of_Life_Cycle,Remaining_Cycles
B0005,500,399
B0006,456,355
B0007,644,543
B0018,409,308
B0025,625,524
B0026,1032,931
B0027,2267,2166
B0028,672,571
B0029,317,216
B0030,316,215
B0031,480,379
B0032,305,204
B0033,865,764
B0034,1214,1113
B0036,1644,1543
B0038,1704,1603
B0039,615,514
B0040,3355,3254
B0041,143,42
B0042,336,235
B0043,619,518
B0044,356,255
B0045,418,317
B0046,4659,4558
B0047,4888,4787
B0048,0,0
B0049,86,0
B0050,16,0
B0051,71,0
B0052,30,0
B0053,214,113
B0054,1787,1686
B0055,156,55
B0056,170,69
