Cycle Pair,Battery ID,Charge_Ah,Discharge_Ah,Initial Discharge_Ah,Charge_Wh,Discharge_Wh,Charge Duration_Sec,Discharge Duration_Sec,Average_Charge_Voltage,Average_Discharge_Voltage,Voltage Hysteresis,Ambient Temperature,Max Charge Temperature,Max Discharge Temperature,Charge_Tempaerature_Rise_Rate,Discharge_Tempaerature_Rise_Rate,Coulombic_Efficiency_Ah,Energy_Efficiency_Wh,SOH,Capacity_Fade,Cycle Status
1,B0027,1.8798336075256297,1.850110307276792,1.850110307276792,7.728570711143815,5.9505274419338186,10800.875,3332.9850000000065,4.164198481575722,3.2165219287124294,0.9476765528632929,24,29.86261187528957,41.774709649974426,-4.985726183438749e-05,0.004600558715319408,98.41883344728784,76.99389271749511,100.15539292679962,,Valid
2,B0027,1.8678421827410752,1.8525670875905296,1.850110307276792,7.685832663366089,5.878474482174719,10802.094,3335.813,4.165685680939047,3.173179468185331,0.9925062127537161,24,29.900680585554188,42.2253423480333,-9.607361228385412e-05,0.004802026733554915,99.18220632922375,76.48454942551639,100.2883902927888,-0.13299736598918344,Valid
3,B0027,1.8622714605611574,1.8399560372005572,1.850110307276792,7.673743877854549,5.820935599204253,10801.046,3313.578,4.168704253458199,3.163813603833344,1.0048906496248553,24,29.737943483552232,42.34597152452321,-5.897532877889408e-05,0.004797724944819892,98.80170942673008,75.85522388885997,99.6056933195005,0.6826969732883015,Valid
4,B0027,1.8530205564716118,1.8418582896506346,1.850110307276792,7.636012526642189,5.801212996755609,10802.563,3316.579,4.1690475454108675,3.14979205267902,1.0192554927318476,24,30.045818447384573,42.78346030102294,-8.176900145265391e-05,0.004883090147323942,99.39761775539978,75.97175851290277,99.70867141806798,-0.1029780985674762,Valid
5,B0027,1.854014888165885,1.8403250207494612,1.850110307276792,7.640453534376157,5.78993409825315,10792.422,3316.109,4.169390008022413,3.1462076021880825,1.0231824058343304,24,30.020368486305088,42.7911114046925,-8.294424495373328e-05,0.004874114300575663,99.26160962871411,75.77997918844616,99.62566817839331,0.08300323967466738,Valid
6,B0027,1.854479614503573,1.8218515683104395,1.850110307276792,7.64286757476901,5.703031259409261,10761.452999999996,3282.5,4.169724592325975,3.1311389239041167,1.0385856684218586,24,29.940215678646812,42.650430997384056,-3.0073559880441327e-05,0.004937225301818546,98.24058210519247,74.61899874121035,98.62561111127273,1.0000570671205793,Valid
7,B0027,1.863715575019191,1.8554096442102264,1.850110307276792,7.6692850335098255,5.886397494324106,10608.015,3343.046,4.165775936408127,3.1727059511135622,0.9930699852945648,24,30.210941357697745,42.03950250050915,-4.2459144769219536e-05,0.004746671242508401,99.5543348502156,76.75288463793363,100.44227159059176,-1.816660479319026,Valid
8,B0027,1.8694248033788552,1.8476043279394871,1.850110307276792,7.685257789962623,5.8335492741877,10562.032,3328.516,4.163783603874946,3.1574829130564956,1.0063006908184504,24,30.49677169072192,42.229180572821015,-5.727535020689794e-05,0.004708118665847724,98.83277062549244,75.90570718143823,100.0197321804068,0.4225394101849531,Valid
9,B0027,1.366476044786231,1.845131214839217,1.850110307276792,5.661518817971101,5.805753996716047,9093.969,3322.985,4.184292667921331,3.146762853376637,1.0375298145446936,24,37.95394996632584,42.43971351413172,-0.0012787943773026587,0.004792387592221114,135.02843477419805,102.54764107269425,99.88585064191922,0.13388153848758577,Invalid : Charge Ah less than Discharge Ah
10,B0027,1.8576673458949702,1.844311674516851,1.850110307276792,7.641437772984882,5.799743810576777,10550.125,3323.312,4.165154173278755,3.144974858383685,1.0201793148950702,24,30.274659085750457,42.85864141812493,-8.115680907352234e-05,0.004832786356651826,99.28105150754615,75.89859373167798,99.84148497210857,0.04436566981064516,Valid
11,B0027,1.8583215183560104,1.8422995030503584,1.850110307276792,7.6444365821268745,5.768399113442335,10571.921999999999,3319.157,4.1658602511189216,3.131408514350742,1.0344517367681796,24,30.247345624119312,42.238154442620825,-6.420425400139066e-05,0.0048386480776513655,99.13782329121248,75.45878694224737,99.73255642710777,0.10892854500080773,Valid
