Cycle Pair,Battery ID,Charge_Ah,Discharge_Ah,Initial Discharge_Ah,Charge_Wh,Discharge_Wh,Charge Duration_Sec,Discharge Duration_Sec,Average_Charge_Voltage,Average_Discharge_Voltage,Voltage Hysteresis,Max Charge Temperature,Max Discharge Temperature,Charge_Tempaerature_Rise_Rate,Discharge_Tempaerature_Rise_Rate,Coulombic_Efficiency_Ah,Energy_Efficiency_Wh,SOH,Capacity_Fade,Cycle Status
1,B0046,1.5655302056401166,1.5742105709797847,1.5742105709797847,6.512457982137384,5.38900898676409,10800.719000000001,5613.391,4.18468635000655,3.4247305243043535,0.7599558257021966,9.32513759558831,12.941526372487642,-3.0474978876233644e-05,0.0012786497154439885,100.55446808425641,82.74923234123378,103.02712787205377,,Invalid : Charge Ah less than Discharge Ah
2,B0046,1.5596137058217596,1.557535185526208,1.5742105709797847,6.460305488222661,5.332785754130471,10799.499999999995,5553.969,4.178404919262051,3.4252408500177163,0.7531640692443347,12.273321574132632,13.359691095670462,-0.0005631780835159756,0.0010851048900291681,99.86672851823546,82.5469594874779,101.93577637110933,1.091351500944441,Valid
3,B0046,1.5468324376445026,1.544272469803541,1.5742105709797847,6.410832955373569,5.2836121018069315,10805.188,5506.625,4.179563924245007,3.4229529508462497,0.7566109733987569,11.564015006419972,12.66405311611375,-0.0006492353751452838,0.0014182662390028328,99.83450257580195,82.41693612338162,101.0677733644725,0.8680030066368261,Valid
4,B0046,1.5353166227131236,1.5318584161061435,1.5742105709797847,6.364878373390587,5.237117695753385,10803.203,5461.922,4.179908186937702,3.4204350667969363,0.7594731201407656,12.022339506559476,12.9454077907581,-0.0006573675291418904,0.001435380559798179,99.7747561280963,82.28150466547814,100.25531261667287,0.8124607477996335,Valid
5,B0046,1.5247047443545017,1.5215265747428095,1.5742105709797847,6.323501339369812,5.19733428194451,10801.578,5423.9529999999995,4.1806286167462074,3.4174742190128775,0.7631543977333299,12.398490432232196,12.747555740490968,-0.0006766072094905992,0.0013642802760830215,99.79155507822351,82.19076747222555,99.57912611347116,0.6761865032017056,Valid
6,B0046,1.5133462739144665,1.5183961081614474,1.5742105709797847,6.311105650951436,5.1461385322421584,10802.453,5414.0,4.188806598753272,3.3907324402233208,0.7980741585299516,9.465933254374386,13.585554405586658,-0.00011727424290500803,0.0014464842537919018,100.3336866343166,81.54099799400993,99.37424692721564,0.20487918625552481,Invalid : Charge Ah less than Discharge Ah
7,B0046,1.526568706948036,1.5231810969665798,1.5742105709797847,6.364026849956749,5.182904089083248,10805.875,5430.687,4.188457213244081,3.4044779564179635,0.7839792568261172,9.459976311030434,13.841890979527486,-2.13417938330532e-05,0.001529212667901147,99.77808991065794,81.44063831406481,99.68740938627974,-0.31316245906410245,Valid
8,B0046,1.5150430947590283,1.5073348477189636,1.5742105709797847,6.287406300905752,5.134747524744045,10801.75,5374.0,4.1817504285136975,3.4081915133089633,0.7735589152047342,13.3218312341789,13.026909357605527,-0.0007800207682798212,0.0014671789771647647,99.4912192883008,81.66718164856536,98.65032224074591,1.0370871455338317,Valid
9,B0046,1.4985290432671665,1.4955160497976194,1.5742105709797847,6.220341822418537,5.088906006483281,10799.906000000004,5332.375,4.1822155057628025,3.4045245869529044,0.7776909188098982,12.467188597189525,14.024718327969111,-0.0006255860097101113,0.001526243674546406,99.79893659832058,81.81071316921067,97.87681911023498,0.7735031305109317,Valid
10,B0046,1.4889940658279885,1.483603538507472,1.5742105709797847,6.183013387407953,5.045048455459723,10800.609,5289.938,4.182856497205226,3.402439732330553,0.7804167648746727,13.482712763893414,13.19933999445766,-0.0007726984471726667,0.0015260176338097325,99.63797523145136,81.59530215047313,97.09718273464931,0.7796363755856675,Valid
11,B0046,1.4776619930084842,1.4757570905177047,1.5742105709797847,6.136800401611671,5.008881421427443,10803.594,5261.687,4.18321747341354,3.3959577110471124,0.7872597623664279,12.695063505391726,14.0584860426006,-0.0006518131032337408,0.0015633563527600583,99.87108672350018,81.62040629693594,96.58365740628105,0.5135253283682601,Valid
12,B0046,1.4651220265043141,1.4948670248052949,1.5742105709797847,6.119102918355549,5.037551943997448,10801.141,5329.5160000000005,4.191412614428191,3.3715032951593717,0.8199093192688189,9.08341753898316,13.881471673046509,4.251902784708768e-06,0.001587435824037575,102.0302062055507,82.32500762303312,97.83434246695163,-1.2506850606705768,Invalid : Charge Ah less than Discharge Ah
13,B0046,1.5176101423961867,1.505742162384513,1.5742105709797847,6.327362644476141,5.109847212325263,10802.641,5369.281,4.188517351417559,3.3954030896311553,0.7931142617864038,9.361701357449403,13.448963543853798,-3.17802746333472e-05,0.0016257968085208417,99.21798229465341,80.75793184995044,98.5460859977443,-0.711743530792674,Valid
14,B0046,1.4973270358219286,1.4904872898619947,1.5742105709797847,6.216535853154159,5.062175401907514,10803.702999999994,5315.375,4.1826574465938835,3.3981579286372754,0.7844995179566081,12.875254951664605,13.667532945760575,-0.0007029933124331435,0.0016239951655085743,99.54320293454266,81.43080843552212,97.54770259782138,0.9983833999229148,Valid
15,B0046,1.4800058326175483,1.4699805783860427,1.5742105709797847,6.146199524891459,4.990569078005273,10804.438,5242.3279999999995,4.183152879328249,3.3967542750149686,0.7863986043132805,13.153730845305612,13.340243163260338,-0.0006997540291370981,0.0016244822738224669,99.32262062685423,81.19764185646748,96.205602865793,1.3420997320283874,Valid
16,B0046,1.4650711168196688,1.4613239642942673,1.5742105709797847,6.087049417104802,4.953116451021911,10800.859,5210.75,4.184082739589986,3.391522861387311,0.7925598782026748,12.755699586094265,13.555214128061523,-0.0005869855432772043,0.0015916625078764286,99.74423408649706,81.37138556988705,95.63905471561937,0.5665481501736309,Valid
17,B0046,1.454178508402894,1.4488441247136636,1.5742105709797847,6.042528593053578,4.903806700103947,10805.218,5165.39,4.184315305785952,3.386650083152451,0.7976652226335008,13.030314194948843,13.92413877867496,-0.0007547678569290508,0.001698062462168009,99.63316857879512,81.154877872507,94.8222884887903,0.8167662268290599,Valid
18,B0046,1.4376169777659344,1.438472819490027,1.5742105709797847,6.008942269428831,4.851071774548894,10802.516,5128.765,4.1926296102521965,3.3746741908972773,0.8179554193549192,9.109898329219815,14.28736966860918,5.183225036496485e-05,0.0016755636710953927,100.05953197112505,80.73087670070099,94.1435192001235,0.6787692886667998,Invalid : Charge Ah less than Discharge Ah
19,B0046,1.4389778683421348,0.6603106756761212,1.5742105709797847,5.9834537702941,2.4073522563167282,10803.203000000005,2360.125,4.185389816292898,3.644971490582297,0.540418325710601,13.712911580223995,8.96387999471909,-0.0008062297599343736,0.0007672455069169806,45.88747959250227,40.23348969901711,43.21525574296222,50.928263457161286,Invalid : Discharge Ah significantly lower than average
20,B0046,0.7403704138713187,1.4869409396373825,1.5742105709797847,3.099721992795035,5.016832710381811,10572.516000000001,5302.235,4.196184825833751,3.376038883651369,0.8201459421823825,8.794974219722507,13.660049425573854,-0.00021319566085394723,0.0016206698953182622,200.83743377349793,161.847827709804,97.31560513588984,-54.10034939292762,Invalid : Charge Ah less than Discharge Ah
21,B0046,1.4160405655621082,1.4206038472893021,1.5742105709797847,5.890121232909191,4.788417984587274,10806.219000000001,5064.953,4.186108082111117,3.372809063783996,0.8132990183271209,13.09769095102129,14.090426247420028,-0.0006915069390558274,0.001635479178653738,100.32225642669937,81.29574579608823,92.97405120276377,4.341553933126065,Invalid : Charge Ah less than Discharge Ah
22,B0046,1.4110504797391092,1.4065621017393641,1.5742105709797847,5.869648133389758,4.739936064145386,10802.328,5012.954,4.186272612178636,3.3719198716218126,0.8143527405568238,13.574267084002226,13.616160454467026,-0.0007688690918791756,0.001620505933139549,99.68191230121158,80.75332552188344,92.0550631455181,0.9189880572456701,Valid
23,B0046,1.395754040403531,1.399522040720489,1.5742105709797847,5.842598800217361,4.7006118277401185,10805.781,4989.344,4.19486247867395,3.3607361450302693,0.8341263336436806,9.191051374384664,14.195102692387692,0.0001274281312803982,0.0017412744793031513,100.26996162704059,80.45412646792113,91.5943133067165,0.46074983880160403,Invalid : Charge Ah less than Discharge Ah
24,B0046,1.399625550784007,1.3899676741839364,1.5742105709797847,5.82463541759457,4.676629997928878,10806.172,4955.5,4.186894032321662,3.366450237507298,0.8204437948143641,13.592108186460091,13.624788501962088,-0.0007774801938295974,0.0016680513938886136,99.30996711265662,80.29051885036627,90.96901008423515,0.6253032224813495,Valid
25,B0046,1.3845224849765747,1.3810285556744182,1.5742105709797847,5.762814642232245,4.638276111258992,10805.906,4924.093,4.187362172356571,3.3608003420994628,0.8265618302571083,13.112611642776123,14.438571032501407,-0.0006659229536765462,0.0016975994140477982,99.747643729873,80.48629704776242,90.3839729089541,0.5850371752810446,Valid
26,B0046,1.3749512179499508,1.3657062361631467,1.5742105709797847,5.72354546413671,4.585066778374485,10806.203000000001,4869.485,4.187515631560397,3.359442269459363,0.8280733621010343,13.974022419079628,14.32912839513534,-0.0007197271992714489,0.001639805824352785,99.32761383341379,80.10885572769809,89.38117531587118,1.0027975930829314,Valid
27,B0046,1.3633334473678596,1.3605914358263398,1.5742105709797847,5.677393302020068,4.564545200786098,10802.125,4850.078,4.188152048192685,3.356843035895805,0.83130901229688,13.79458254223527,14.364000921258654,-0.000772448832127648,0.0017804351805566076,99.79887447588015,80.39860826907996,89.04642772996705,0.33474758590412534,Valid
28,B0046,1.3522308379751633,1.3541344504961712,1.5742105709797847,5.662512067368806,4.5284793104533145,10802.282,4827.719,4.195622407415043,3.3464293771854354,0.8491930302296078,9.1561080808182,14.606484759269524,-0.00014975823684691437,0.0017330780697882887,100.14077570689473,79.97297412484913,88.6238383600677,0.4225893698993559,Invalid : Charge Ah less than Discharge Ah
29,B0046,1.3571888289132317,1.345798739682397,1.5742105709797847,5.652448656838119,4.508906134115865,10800.141000000003,4797.5,4.188381580354669,3.35240963276675,0.835971947587919,14.013085862074306,14.058016587648105,-0.0008317757274048344,0.0016492284990939716,99.16075869560794,79.76907722392419,88.07829231956521,0.5455460405024866,Valid
30,B0046,1.342446348993854,1.3360617431776536,1.5742105709797847,5.593730230338658,4.472162376418426,10799.515,4762.688,4.189229979651831,3.3493313891432472,0.8398985905085836,12.522612432725785,13.71469616091282,-0.0006550799000484632,0.0016993956172204731,99.5244051413313,79.94955409473992,87.44103654039739,0.6372557791678162,Valid
31,B0046,1.3318208956598965,1.3247734731800132,1.5742105709797847,5.548604520516069,4.432133813561818,10805.672,4722.25,4.188980100137718,3.3475798308815916,0.841400269256126,13.131615859671236,14.250565862852431,-0.0006644404406934293,0.0017223199130281344,99.47084307635889,79.87835134354812,86.70225479293566,0.7387817474617293,Valid
32,B0046,1.3231529984010275,1.3191344462245413,1.5742105709797847,5.512664785332119,4.40745149002994,10800.609,4702.1089999999995,4.189230002549607,3.343116574989815,0.8461134275597919,13.812956969198398,14.589504036127655,-0.0008014421494682055,0.0019042669977145468,99.6962896821953,79.9513785376015,86.33319822456707,0.3690565683685918,Valid
33,B0046,1.310428801757929,1.3678843231441802,1.5742105709797847,5.49011420029796,4.538244852036332,10801.829,4875.594,4.196354131851456,3.3194089241255096,0.8769452077259468,8.961573455880472,13.891154624298236,-9.051955223562189e-05,0.0017959134827632618,104.38448249223269,82.66212115933823,89.52372425439833,-3.190526029831261,Invalid : Charge Ah less than Discharge Ah
34,B0046,1.3996458013519852,1.3912370357633157,1.5742105709797847,5.857696836806706,4.655327337895498,10799.562000000002,4959.75,4.194630668576201,3.3481210273953805,0.8465096411808202,9.235381386461205,14.673096336965486,2.8507125736809077e-05,0.0015647403661919006,99.399221890242,79.47368168055154,91.05208580495857,-1.5283615505602341,Valid
35,B0046,1.3809226776687393,1.360789952020326,1.5742105709797847,5.748630405856798,4.564362542706101,10802.078000000007,4851.11,4.187590150472522,3.3561008435266086,0.831489306945913,12.724096497571804,13.792526884037278,-0.0006380209224899539,0.0016038426515765807,98.5420816115207,79.39913023554018,89.0594199901383,1.9926658148202705,Valid
