File Name,Test Type,Cycle ID,Battery ID,Capacity,File Path,ambient_temperature
00001.csv,discharge,0,B0047,1.674304745,C:\Projects\Battery Engineering\data,4
00002.csv,impedance,1,B0047,,C:\Projects\Battery Engineering\data,24
00003.csv,charge,2,B0047,,C:\Projects\Battery Engineering\data,4
00004.csv,impedance,3,B0047,,C:\Projects\Battery Engineering\data,24
00005.csv,discharge,4,B0047,1.524366211,C:\Projects\Battery Engineering\data,4
00006.csv,charge,5,B0047,,C:\Projects\Battery Engineering\data,4
00007.csv,discharge,6,B0047,1.508076297,C:\Projects\Battery Engineering\data,4
00008.csv,charge,7,B0047,,C:\Projects\Battery Engineering\data,4
00009.csv,discharge,8,B0047,1.483557796,C:\Projects\Battery Engineering\data,4
00010.csv,charge,9,B0047,,C:\Projects\Battery Engineering\data,4
00011.csv,discharge,10,B0047,1.467139167,C:\Projects\Battery Engineering\data,4
00012.csv,charge,11,B0047,,C:\Projects\Battery Engineering\data,4
00013.csv,discharge,12,B0047,1.448858157,C:\Projects\Battery Engineering\data,4
00014.csv,impedance,13,B0047,,C:\Projects\Battery Engineering\data,24
00015.csv,charge,14,B0047,,C:\Projects\Battery Engineering\data,4
00016.csv,impedance,15,B0047,,C:\Projects\Battery Engineering\data,24
00017.csv,discharge,16,B0047,1.445853418,C:\Projects\Battery Engineering\data,4
00018.csv,impedance,17,B0047,,C:\Projects\Battery Engineering\data,24
00019.csv,charge,18,B0047,,C:\Projects\Battery Engineering\data,4
00020.csv,impedance,19,B0047,,C:\Projects\Battery Engineering\data,24
00021.csv,discharge,20,B0047,1.431118266,C:\Projects\Battery Engineering\data,4
00022.csv,charge,21,B0047,,C:\Projects\Battery Engineering\data,4
00023.csv,discharge,22,B0047,1.419274552,C:\Projects\Battery Engineering\data,4
00024.csv,charge,23,B0047,,C:\Projects\Battery Engineering\data,4
00025.csv,discharge,24,B0047,1.399997422,C:\Projects\Battery Engineering\data,4
00026.csv,charge,25,B0047,,C:\Projects\Battery Engineering\data,4
00027.csv,discharge,26,B0047,1.388515669,C:\Projects\Battery Engineering\data,4
00028.csv,charge,27,B0047,,C:\Projects\Battery Engineering\data,4
00029.csv,discharge,28,B0047,1.365223467,C:\Projects\Battery Engineering\data,4
00030.csv,impedance,29,B0047,,C:\Projects\Battery Engineering\data,24
00031.csv,charge,30,B0047,,C:\Projects\Battery Engineering\data,4
00032.csv,impedance,31,B0047,,C:\Projects\Battery Engineering\data,24
00033.csv,discharge,32,B0047,1.406044227,C:\Projects\Battery Engineering\data,4
00034.csv,impedance,33,B0047,,C:\Projects\Battery Engineering\data,24
00035.csv,charge,34,B0047,,C:\Projects\Battery Engineering\data,4
00036.csv,impedance,35,B0047,,C:\Projects\Battery Engineering\data,24
00037.csv,discharge,36,B0047,1.405754161,C:\Projects\Battery Engineering\data,4
00038.csv,charge,37,B0047,,C:\Projects\Battery Engineering\data,4
00039.csv,discharge,38,B0047,1.386766288,C:\Projects\Battery Engineering\data,4
00040.csv,charge,39,B0047,,C:\Projects\Battery Engineering\data,4
00041.csv,discharge,40,B0047,1.370505306,C:\Projects\Battery Engineering\data,4
00042.csv,charge,41,B0047,,C:\Projects\Battery Engineering\data,4
00043.csv,discharge,42,B0047,1.349743111,C:\Projects\Battery Engineering\data,4
00044.csv,charge,43,B0047,,C:\Projects\Battery Engineering\data,4
00045.csv,discharge,44,B0047,1.325153337,C:\Projects\Battery Engineering\data,4
00046.csv,impedance,45,B0047,,C:\Projects\Battery Engineering\data,24
00047.csv,charge,46,B0047,,C:\Projects\Battery Engineering\data,4
