Battery ID,Thermal Summary,Health Level,Health Concern,Usage Summary,Final Level,Primary Issue,Reason,Action
B0005,normal,warning,low_soh,stable_usage,warning,degradation,low_soh,plan_maintenance
B0006,normal,warning,low_soh,stable_usage,warning,degradation,low_soh,plan_maintenance
B0007,normal,warning,low_soh,stable_usage,warning,degradation,low_soh,plan_maintenance
B0018,normal,warning,low_soh,stable_usage,warning,degradation,low_soh,plan_maintenance
B0025,normal,healthy,normal,stable_usage,healthy,none,all_systems_normal,normal_operation
B0026,normal,healthy,normal,stable_usage,healthy,none,all_systems_normal,normal_operation
B0027,normal,healthy,normal,stable_usage,healthy,none,all_systems_normal,normal_operation
B0028,normal,healthy,normal,stable_usage,healthy,none,all_systems_normal,normal_operation
B0029,frequent_overheating,healthy,normal,stable_usage,critical,thermal,frequent_overheating,immediate_cooling_or_shutdown
B0030,frequent_overheating,healthy,normal,stable_usage,critical,thermal,frequent_overheating,immediate_cooling_or_shutdown
B0031,frequent_overheating,healthy,normal,stable_usage,critical,thermal,frequent_overheating,immediate_cooling_or_shutdown
B0032,frequent_overheating,healthy,normal,stable_usage,critical,thermal,frequent_overheating,immediate_cooling_or_shutdown
B0033,frequent_overheating,warning,low_soh,stable_usage,critical,thermal,frequent_overheating,immediate_cooling_or_shutdown
B0034,frequent_overheating,healthy,normal,stable_usage,critical,thermal,frequent_overheating,immediate_cooling_or_shutdown
B0036,normal,healthy,normal,stable_usage,healthy,none,all_systems_normal,normal_operation
B0038,frequent_overheating,healthy,normal,unstable_usage,critical,thermal,frequent_overheating,immediate_cooling_or_shutdown
B0039,occasional_overheating,warning,low_soh,unstable_usage,warning,thermal,occasional_overheating,reduce_load_and_monitor_temperature
B0040,occasional_overheating,warning,low_soh,unstable_usage,warning,thermal,occasional_overheating,reduce_load_and_monitor_temperature
B0041,normal,warning,low_rul,electrical_instability,warning,degradation,low_rul,plan_maintenance
B0042,normal,healthy,normal,unstable_usage,warning,usage,unstable_usage,optimize_usage_patterns
B0043,normal,warning,low_soh,irregular_discharge,warning,degradation,low_soh,plan_maintenance
B0044,normal,warning,low_soh,mild_variation,warning,degradation,low_soh,plan_maintenance
B0045,normal,warning,low_soh,stable_usage,warning,degradation,low_soh,plan_maintenance
B0046,normal,healthy,normal,stable_usage,healthy,none,all_systems_normal,normal_operation
B0047,normal,healthy,normal,stable_usage,healthy,none,all_systems_normal,normal_operation
B0048,normal,healthy,normal,stable_usage,healthy,none,all_systems_normal,normal_operation
B0049,normal,critical,low_soh_and_low_rul,electrical_instability,critical,degradation,low_soh_and_low_rul,battery_replacement_required
B0050,normal,critical,low_soh_and_low_rul,unstable_usage,critical,degradation,low_soh_and_low_rul,battery_replacement_required
B0051,normal,critical,low_soh_and_low_rul,electrical_instability,critical,degradation,low_soh_and_low_rul,battery_replacement_required
B0052,normal,warning,low_rul,stable_usage,warning,degradation,low_rul,plan_maintenance
B0053,normal,warning,moderate_rul,stable_usage,warning,degradation,moderate_rul,plan_maintenance
B0054,normal,healthy,normal,electrical_instability,warning,usage,electrical_instability,optimize_usage_patterns
B0055,normal,warning,moderate_rul,stable_usage,warning,degradation,moderate_rul,plan_maintenance
B0056,normal,warning,moderate_rul,stable_usage,warning,degradation,moderate_rul,plan_maintenance
