Cycle Pair,Battery ID,Charge_Ah,Discharge_Ah,Initial Discharge_Ah,Charge_Wh,Discharge_Wh,Charge Duration_Sec,Discharge Duration_Sec,Average_Charge_Voltage,Average_Discharge_Voltage,Voltage Hysteresis,Ambient Temperature,Max Charge Temperature,Max Discharge Temperature,Charge_Tempaerature_Rise_Rate,Discharge_Tempaerature_Rise_Rate,Coulombic_Efficiency_Ah,Energy_Efficiency_Wh,SOH,Capacity_Fade,Cycle Status
1,B0044,0.08428343077427461,1.683715703467958,1.683715703467958,0.35364735557948046,5.810799604560608,3436.062,3031.235,4.1902360944782115,3.4511788744760876,0.7390572200021239,22,23.63961577853931,37.57677229520556,-0.000167478736680551,0.004836452817534846,1997.682922966479,1643.1056284979516,103.27763359827884,,Invalid : Charge Ah less than Discharge Ah
2,B0044,1.6742583951544943,1.6596237920692651,1.683715703467958,6.822217319360964,5.749270556499526,10264.032000000008,2987.375,4.138745657724387,3.4641811501104747,0.6745645076139124,22,32.725251665524695,37.11371774486848,-0.0009920940573950505,0.004880547438516931,99.12590534844661,84.27275601707245,101.7998570395691,1.477776558709735,Valid
3,B0044,1.65932440188469,1.6505575082470174,1.683715703467958,6.765319342913789,5.716659641961635,10227.359,2970.969,4.140038769607667,3.4634478829336066,0.6765908866740604,22,32.42525485615008,37.03990122484458,-0.0009896048500907637,0.00497230389553684,99.47165884936574,84.49947965796244,101.24373920045677,0.556117839112332,Valid
4,B0044,1.6503004301186457,1.6423383232374145,1.683715703467958,6.730260869918943,5.69185982441765,10140.062,2956.031,4.140478753367218,3.4657130341274005,0.6747657192398178,22,32.5198914657141,37.031790578982296,-0.001021588151263544,0.005025488975830069,99.51753591431478,84.57116201628304,100.73958165405519,0.5041575464015864,Valid
5,B0044,1.64224051487626,1.6327678320730592,1.683715703467958,6.697197081589599,5.670331421027052,9888.109,2938.828,4.139276879331689,3.4728406512670746,0.6664362280646143,22,32.90874715855427,37.55880059009465,-0.0010522209921042952,0.005108174056050784,99.42318541544967,84.66723245482247,100.152536182072,0.5870454719831883,Valid
6,B0044,1.6371281801890367,1.4545260709888619,1.683715703467958,6.702517328025668,5.124066284086568,10276.407,2626.781,4.148620734942552,3.522030996333175,0.6265897386093773,22,28.18770549782221,35.59949904890386,-0.0001244927489098246,0.004742424498258516,88.84619351069443,76.4498774611291,89.2193440432508,10.933192138821198,Valid
7,B0044,1.4609014222251444,1.6238563811876132,1.683715703467958,5.978243466905636,5.644406111964292,9497.515,2922.687,4.149371000739822,3.475914406575908,0.6734565941639139,22,34.88974100571322,37.41727476373435,-0.0012350965611071427,0.004859360312182661,111.15441168605797,94.4157952617788,99.60591565849994,-10.386571615249139,Invalid : Charge Ah less than Discharge Ah
8,B0044,1.6246048141087581,1.6130253910727066,1.683715703467958,6.626669836723365,5.605033311473466,10051.875,2903.078,4.141519020668021,3.4747856992603467,0.666733321407674,22,34.28455586640926,37.124797984832064,-0.001151218857214353,0.0049676065002304095,99.28724678546494,84.58295719535865,98.94155229460786,0.664363363892079,Valid
9,B0044,1.6141808829639575,1.6046602114089699,1.683715703467958,6.588208080862562,5.5710504223326485,10060.047,2887.859,4.143130962867168,3.4717886308393093,0.6713423320278591,22,33.89797701836153,36.80308774571381,-0.0011445055542394268,0.004992155113351611,99.41018558356943,84.5609360535446,98.42843956511574,0.5131127294921214,Valid
10,B0044,1.6059571836781026,1.5973714564342578,1.683715703467958,6.557432667997408,5.5433540671634685,10083.438,2874.516,4.144201252883962,3.4703375274551314,0.6738637254288302,22,33.691730380713395,36.71090377209387,-0.001145431805198651,0.005046470595960607,99.46538255620358,84.5354325057274,97.9813537749699,0.4470857901458345,Valid
