Battery,Predicted_End_of_Life_Cycle,Remaining_Cycles
B0005,500.0,399.0
B0006,456.0,355.0
B0007,644.0,543.0
B0018,409.0,308.0
B0025,625.0,524.0
B0026,1032.0,931.0
B0027,2267.0,2166.0
B0028,672.0,571.0
B0029,317.0,216.0
B0030,316.0,215.0
B0031,480.0,379.0
B0032,305.0,204.0
B0033,865.0,764.0
B0034,1214.0,1113.0
B0036,1644.0,1543.0
B0038,1704.0,1603.0
B0039,615.0,514.0
B0040,3355.0,3254.0
B0041,143.0,42.0
B0042,336.0,235.0
B0043,619.0,518.0
B0044,356.0,255.0
B0045,418.0,317.0
B0046,4659.0,4558.0
B0047,4888.0,4787.0
B0048,inf,inf
B0049,86.0,0.0
B0050,16.0,0.0
B0051,71.0,0.0
B0052,30.0,0.0
B0053,214.0,113.0
B0054,1787.0,1686.0
B0055,156.0,55.0
B0056,170.0,69.0
